En,Nk
i'll be coming back on tuesday,화요일에 돌아올 계획이다
The date was fixed,날자가 결정되였다
i'd like to go but i havent been asked,가고싶은데 초청을 받지 못하였다
Construction is to begin next summer,명년 여름에 건설은 시작되게 된다
She was never to see her brother again,그 녀자는 오빠를 다시 보지 못하였다
We are to visit Korea in the spring,봄에 조선을 방문하려고 한다
You are to follow these orders,당신은 이 명령들을 집행해야 한다
All staff are to wear uniforms,모든 성원들은 제복을 입게 되여있다
He is not to be blamed,그를 비난하지 말아야 한다
These snakes are to be found in deserts,이러한 뱀들은 사막에서 볼수 있다
We searched everywhere but the ring was nowhere to be found,우리는 모든곳을 찾아보았으나 반지는 그 어디에도 없었다
You must speak out if we are to remain friends,앞으로도 친구로 되자면 솔직히 말하라구
"If I was to tell you, youd think I was mad",내가 당신에게 말하면 당신은 나를 미쳤다고 할거요
"Were we to propose, would you take it",우리가 제안하면 받아들이겠습니까
He is returned,그는 돌아와 있다
The sun is set,해가 졌다
He is grown up,그는 어른이 되였다
Babylon is fallen,바빌론은 멸망하였다
a sandy beach,모래불
take the beach,배에서 내리다
establish a beachhead,교두보를 확보하다
a beacon of hope,희망의 등대
Beads of sweat trickled down his face,그의 얼굴에는 구슬같은 땀방울이 흘러내렸다
draw a bead on,에 대고 총을 겨누다
get a bead on,조준하다
There was land in sight on the port beam,좌현방향에 뭍이 보이였다
a beam of light,한줄기의 광선
a beam of hope,희망의 빛
with a wide beam of delight,희색이 만면하여
The concert was beamed by satellite all over the world,그 음악회는 위성으로 전세계에 방영되였다
Xrays are beamed through the patients body,렌트겐선이 환자의 몸을 투시한다
The sun beamed through the clouds,구름사이로 태양이 빛났다
The midday sun beamed down on the hill,한낮의 태양이 그 언덕을 환히 비치였다
a beaming smile,환한 미소
beam aerial,통신
give a beaming smile,환하게 미소짓다
coffee beans,커피의 열매
small beans,팥
not know beans about,에 대해 전혀 모르다
not care beans about,에 대해 조금도 개이치 않다
not have a bean,빈털털이다
not have a bean,돈한푼 없다
not amount to a hill of beans,아무런 가치도 없다
not amount to a hill of beans,전혀 중요치 않다
Every bean has its black,사람은 누구에게나 결함이 있기 마련
know how many beans make five,꾀가 있다
know how many beans make five,빈틈없다
get beaned by a wild pitch,투수가 힘껏 던지는 공에 머리를 얻어맞다
Boston,미국 시의 속칭
bear arms,무기를 휴대하다
bear arms,군대에 복무하다
Bear in mind what I say,내 말을 명심하시오
i dont bear them any i'll feeling,나는 그들에게 원한을 품지 않소
bear a tray of brimming glasses,찰랑거리는 잔들을 담은 쟁반을 나르다
This letter bears a wrong address,이 편지에는 받는 사람의 주소가 틀리게 씌여져있다
bear the responsibility for such decision,그러한 결정에 대한 책임을 지다
The experts fee shall be borne by the company,전문가의 비용은 회사가 질것이다
"The story is well known, but it certainly bears repeating",그 이야기는 너무도 잘 알려졌기때문에 되풀이할 여지가 없다
She could hardly bear his sarcasm,그의 빈정댐을 참기 어려웠다
I cannot bear to see you hurt,네가 모욕을 받는것을 보고만있지 못하겠다
I cant bear caviar,철갑상어알은 정말 먹지 못하겠다
She bore him a son,그 녀자는 그에게 아들을 낳아주었다
She had already borne five daughters,벌써 딸 다섯을 낳았다
bear left and follow the old road,왼쪽으로 돌아 낡은 길을 따라가라
bear a hand,도와주다
bear a hand,방조하다
bear fruit,좋은 결실을 맺다
bear fruit,성공하다
bear the burden of,의 후과로 고통을 당하다
bear the stamp of,의 특징을 가지고있다
bear the stamp of,과 류사하다
bring pressure to bear on,에게 압력을 가하다
a storm bored down on the island,섬에 사납게 밀려오는 폭풍
Bear with me a minute,잠간 기다려주시오
a polar bear,북극곰
a bear cub,새끼곰
a regular bear,곰같은 사나이
a regular bear,우락부락한 놈
The chemistry test was a bear,화학시험은 정말 힘들었다
Catch the bear before you sell his skin,잡지도 않은 곰가죽부터 팔지 말라
like a bear with a sore head,심술궂은
like a bear with a sore head,짜증내는
a grey bearded man,희슥한 수염이 난 사나이
a flag bearer,기수
payable to bearer,지참인지불
bearhug,거칠게 껴안다
a man of precise military bearing,군인다운 사람
have no bearing on the question,그 문제와는 관계가 없다
learn to take a compass bearing,라침판방위판정법을 배우다
armorial bearing,표식무늬
a wild beast,맹수
a wild beast,야수
the beast in man,인간의 야수성
He has a real beast of a father,그는 아버지를 꼭 닮았다
be the nature of the beast,그건 바로 그런것이다
be the nature of the beast,그렇게밖에 될수가 없다
beast of prey,맹수
Dont be beastly to him,그에게 너무 못살게 굴지 마시오
He beat the table with his hand,그는 손으로 책상을 쾅쾅 두드렸다
He beat his fists against on the wall,그는 주먹으로 담벽을 쳤다
beat the living daylights out of,을 심하게 구타하다
be beaten to death,맞아죽다
beat the drum,북을 두드리다
It beats me how you manage to work in this heat,이렇게 더운데서 어떻게 일하는지 모르겠군
beat the world record,세계기록을 깨뜨리다
Nothing beats homemade cake,집에서 만든 과자가 제일 낫다
The defender beat him to the ball,방어수가 먼저 뽈에 접근하였다
They set off early to beat the traffic,그들은 교통혼잡을 피하려고 일찍 떠났다
Drums were beating in the distance,멀리서 북소리가 울리였다
beat on the door with flat of hand,손바닥으로 문을 두드리다
Waves beat against the cliffs,파도가 벼랑에 부딛쳐 철썩거렸다
beat at the flames,불을 끄려고 치다
beat about the bush,본론을 피하다
beat around the bush,빙빙 에둘다
Beat it,썩 사라져
beat the bounds,교구의 경계를 현지검사하다
beat the clock,기한전에 일을 끝내다
beat the heat,몸을 식히다
beat the hell out of,에게 된타격을 가하다
beat the pants off,보다 훨씬 우세하다
beat the pants off,쉽게 이기다
Beats me why he wants such a big car,왜 그렇게 큰 승용차를 바라는지 모르겠군
to beat all,들보다 훨씬 나은
to beat all,부류에서 제일 좋은
to beat the band,승벽내기로 세차게
to beat the band,맹렬히
beat back inflation,통화팽창을 억제하다
beat off the competition,경쟁대상을 물리치다
beat off the challenge for,을 위한 도전을 물리치다
beat the confession out of him,그를 때려서 자백을 받아내다
the beat of marching feet,행군대오의 발자국소리
the steady beat of the drum,줄곧 북을 치는 소리
a beat constable,순회경관
be dead beat,완전히 녹초가 되다
last years beaten finalist,작년 결승경기에서 패한 선수
beaten egg,깨서 휘저은 닭알
a well beaten path through the forest,숲으로 난 다져진 길
a carpet beater,주단을 두드려 먼지를 터는 기구
an egg beater,닭알교반기
a recession beater,불경기제지수단
take some beating take a lot of beating,릉가하기 대단히 힘들다
a beautiful shot,뛰여난 사격솜씨
speak in beautiful English,영어로 훌륭히 말하다
the beautiful people,상류계 사람들
the body beautiful,리상적인 육체미
beauty products,화장품
a blonde beauty,금발머리미인
She was a great beauty when she was young,그 녀자는 젊었을 때 대단한 미인이였다
The beauty of email is its speed and ease of use,전자우편의 장점은 그것의 신속성과 편리성이다
Beauty is only skindeep,미모는 거죽 한꺼풀
Beauty is in the eye of the beholder,미모는 개개가 볼탓
Oregon,미국 주의 속칭
We did it because we felt it our duty,우리의 임무라고 생각하였기때문에 그것을 하였다
"Have you been away, because we havent seen you recently",당신이 그새 보이지 않았는데 어디에 갔댔습니까
The game was called because of rain,비때문에 경기는 중지되였다
just because you're my brother doesn't mean i have to like you,네가 나의 동생이기때문에 너를 반드시 좋아해야 한다는 법은 없다
He beckoned me to him,그는 자기쪽으로 오라고 신호하였다
beckon to a waitress,접대원에게 오라고 손짓하다
Early retirement beckoned for him,그는 인차 퇴직하게 될것이였다
become a doctor,의사가 되다
become accustomed to the darkness,어둠에 익숙되다
It soon became clear that,이라는것이 인차 명백해졌다
That dress becomes you very well,그 옷이 너에게 제일 잘 어울린다
Blue really becomes her,그에게는 푸른색이 잘 어울린다
that job doesn't become you,그 직업은 너에게 어울리지 않아
What has become of him,그한테 무슨 일이 일어났을가 그가 어찌 되였을가
Her short hairstyle is very becoming,그의 짧은 머리털모양이 잘 어울린다
that's a most becoming dress,그 옷이 제일 어울린다
Bad language is not at all becoming,상말은 전혀 어울리지 않는다
before bed,잠자기전에
get into bed,잠자리에 들다
go to bed,잠자러 가다
i'm ready for bed,잠잘 준비가 되였다
a bed of straw,짚깔개
go to bed with,와 성교하다
go to bed with,한자리에 들다
a flower bed,꽃밭
prawns on a bed of lettuce,부루를 깔고 놓은 새우
a bed of clay,진흙층
the sea bed,바다밑바닥
an oyster bed,굴양식밭
not a bed of roses,편안한것이 아닌
not a bed of roses,결코 쉽지 않은
Farming is no bed of roses,농사일이란 쉬운것이 아니다
be brought to bed of,해산하다
be brought to bed of a daughter,딸을 낳다
be in bed with,와 성교하다
be in bed with,동침하다
Youve made your bed and now you must lie in it,제가 뿌린 씨는 제가 거두기 마련
The foundations were bedded in cement,기초는 콩크리트에 든든히 박혔다
bed down on newspapers,신문을 깔고 자다
The rail beds well on the ballast,레루가 로반에 든든히 놓여있다
bed and breakfast accommodation,다음날 아침식사를 포함한 일박
bedandbreakfast,증권 주권을 팔았다가 다음날 도로 사다
windows bedashed with rain,비가 후려치는 창
thinly bedded mudstones,얇은층 니암
a bedding course of sand,밑바닥모래층
Beddybyes,빨리 자거라
"When the bomb exploded, there was bedlam",폭탄이 터지자 대혼란이 일어났다
The family is the bedrock of society,가정은 사회의 기초이다
bedroom scenes,침실장면
have bedroom eyes,눈에 색기가 돌다
Its well past your bedtime,취침시간이 훨씬 지났다
a busy bee,부지런한 사람
a bee sting,벌침
a swarm of bees,벌떼
be stung by a bee,꿀벌에게 쏘이다
The party was just the bee s knees,연회는 최상의 수준이였다
roast beef,소불고기
corned beef,절인 소고기
beef cattle,식용소
Put some beef into it,열심히 일해라 힘을 좀 써라
Wheres the beef,말하자는게 도대체 뭐야
Theyre always beefing about something,그들은 항상 불평만 한다
We need to find some new players to beef up the team,팀을 강화하기 위하여 새 선수들을 물색할 필요가 있다
a beefy computer,성능 좋은 콤퓨터
Utah,미국 주의 속칭
in a beeline,곧추
in a beeline,일직선으로
She s been to the hairdressers,그 녀자는 미용원에 갔다왔다
I ve never been to Chongjin,청진에 가본적이 없다
Have you been to see the exhibition yet,전시회에 아직 가보지 않았니
The postman hasnt been yet,우편통신원이 아직 오지 않았댔다
The doctor s just been,의사가 금방 왔다갔다
a pint of beer,맥주 한조끼
black beer,흑맥주
life isn't all beer and skittles,생활에 항상 즐거움만 있는것은 아니다
beer engine,의 지레대
from Dan to Beersheba,끝에서 끝까지
sugar beet,사탕무우
beetle past,서둘러 지나가다
beetleheaded,멍텅구리의
beetleheaded,어리석은
British Expeditionary Force,영국해외파견군
it i'll befits him to do so,그렇게 하는것은 그에게 어울리지 않아
as befit,에게 어울리게
make a befitting reply,적당한 대답을 주다
Her brain was befogged with lack of sleep,잠을 자지 못해 그 녀자는 머리가 뗑하였다
before dark,어둡기전에
the day before yesterday,그제
appear before an audience,청중들앞에 나타나다
The sea stretched out before them,그들의 앞에는 바다가 펼쳐졌다
The hardest task is before us,가장 어려운 과업이 우리앞에 놓여있다
A whole glorious summer was before the children,멋진 여름철이 아이들을 기다리고있었다
put safety before everything else,안전제일로 하다
The bus stop is just before the school,뻐스정류소는 학교에 가기전에 있다
long before,오래전에
as before,종전대로
as before,이전과 마찬가지로
I have been there before,전에 거기에 가본 일이 있다
before and behind,앞뒤에
The kings guards walked before,왕의 호위병들이 앞서 걸었다
Get out before I call the police,경찰을 부르기전에 썩 나가
Put that money somewhere safe before it gets stolen,그 돈을 도적맞히지 않게 안전한곳에 건사해라
It was several minutes before we realised what was happening,몇분이 지나서야 사태를 알수 있었다
You have to pass a test before you can get a licence,면허증을 받으려면 시험에서 통과되여야 한다
I would die before I submit,굴복할바에는 차라리 죽겠다
I would die before I submit,죽어도 굴복하지 않겠다
book the room beforehand,사전에 방을 예약하다
be beforehand with,미리 대비하다
be beforehand with,을 앞지르다
be beforehand with,선손을 쓰다
befoul the environment,환경을 오염시키다
"Sit down, I beg you",제발 앉아주십시오
The children begged to come with us,애들은 같이 가게 해달라고 빌었다
beg for help,도움을 청하다
beg on the street,거리에서 빌어먹다
I beg of you not to run any risk,제발 부탁이니 위험한짓은 하지 말아주시오
"Listen, I beg of you",제발 비는데 들어보오
"beg, borrow, or steal the money for clothes",옷을 사기 위한 돈을 위하여 수단을 가리지 않다
beg leave to do,정중히 을 요청하다
beg off early from the party,말하고 연회도중에 떠나다
Money begets money,돈이 돈을 낳는다
Poor little beggars,가엾어라
You lazy beggar,이렇게도 느리다구야
Beggars cant be choosers,빌어먹는놈이 콩밥을 마다할가
a begging letter,구걸편지
constantly thrust the begging bowl at the government,정부에 늘 손을 내밀다
begin the book,책을 읽기 시작하다
It was beginning to snow,눈이 내리기 시작하였다
begin learning to drive,운전을 배우기 시작하다
It was the coldest weather since records began,그것은 기상관측이래 가장 추운 날씨였다
A new era had begun,새시대가 시작되였다
begin on another bottle,또 한병 마개를 따다
"The tale begins with a sickly boy, Robin",이야기는 병약한 소년 로빈으로부터 시작된다
words beginning with a vowel,모음으로 시작되는 단어
She began by rewriting the syllabus,그는 요목을 다시 쓰는것으로부터 시작하였다
He began by praising us,그는 우리를 칭찬하는것으로 말을 뗐다
"It was totally unnecessary, to begin with",우선 그것은 전혀 소용없었다
i didn't break it it was like that to begin with,내가 깨지 않았어 이전부터 그랬어
begin working as an engineer,기사로서 사회생활을 시작하다
a beginners dictionary,초학자용사전
an absolute beginner,완전한 초학자
at the beginning of this month,이달초에
from beginning to end,처음부터 끝까지
from beginning to end,시종
since the beginning of the year,년초부터
reach the beginning of the wood,수림이 시작되는곳에 도착하다
the beginning of the book,책의 첫부분
have the beginnings of a headache,머리아픔의 초기증세가 있다
The city had its beginnings in Roman times,그 도시의 력사는 로마시기때부터 시작된다
the beginning of the end of the empire,제국의 종말의 시초
begrudge others theirs,남의것을 탐내다
They begrudged every day they had to stay with their father,그들은 아버지와 함께 있는 나날들을 몹시 아까와하였다
He begrudges her every cent,그 녀자에게 한푼이라도 주기 싫어한다
They were beguiled into singing a peace treaty,그들은 속히워 평화조약에 조인하였다
beguile boys with stories,아이들에게 이야기를 들려주어 기쁘게 하다
beguile the hours away on a rowboat,노젖는 배를 타며 시간을 보내다
a beguiling smile,매력적인 미소
Dont go to any trouble on my behalf,나때문에 괜한 수고를 하지 말아
behave affectionately towards the patient,환자를 다정하게 대하다
Just behave,처신을 바로해라
How does water behave under heat,물에 열을 가하면 어떤 반응이 일어나는가
Behave yourself,점잖게 굴어라
good behaviour,훌륭한 행동
his insulting behaviour towards me,나에 대한 모욕적인 행동
the behaviour of human chromosomes,인간염색체의 작용
behavioural patterns,행동방식
behavioural psychology,행동심리학
look behind,뒤를 돌아보다 회고하다
a short distance behind,뒤에 약간 떨어져
fall behind in the field of,분야에서 뒤떨어지다
be behind with the rent,집세가 밀리다
I knew that behind her smile was sadness,그 녀자가 겉으로는 웃지만 속으로는 슬퍼하고있다는것은 알고있었다
be very much behind the proposal,제안을 열렬히 지지하다
the organization behind the coup,정변을 조작한 조직
He left behind him a manuscript which was subsequently published,그가 세상을 떠나면서 남긴 원고는 후에 출판되였다
he's always behind the rest of his class in mathematics,그는 수학에서는 항상 학급에서 꼴찌이다
behind the times,시대에 뒤떨어져서
Now put all these worries behind you,걱정거리들을 싹 잊어버려라
Behind every great man there stands a woman,위인의 뒤에는 훌륭한 안해가 있다
behindthescenes manoeuvers,리면공작
Lo and behold,저것 보게 이게 어찌된 영문인가
it i'll behoves you to speak so rudely of your parent,부모들에게 그렇게 버릇없이 말하는것은 당신답지 않다
"You cant expect them to sit still for that long, children being what they are",아이는 아이니까 그애들이 그렇게까지 오래 앉아있을수 없을것이다
living beings,생명체
a human being,인간
come into being,태여나다
be brought into being,생겨나다
We do not know exactly how life first came into being,우리는 어떻게 생명이 탄생하였는지 정확히 모른다
bejan,의 녀성형
beat the bejesus out of kick the bejesus out of,을 두들겨패다
scare the bejesus out of,을 깜짝 놀래우다
a belated apology,때늦은 사과
make a belated attempt,때늦게 시도하다
A factory chimney belched out dense black smoke,공장굴뚝에서 시커먼 연기가 내뿜었다
let out a loud belch,크게 트림하다
Her calm face belied the terror she was feeling,그의 침착한 표정은 그의 마음속공포를 가리워주었다
His acts belie his words,그의 행동은 말과 다르다
beyond belief,믿기 어려운
a political belief,정치적신념
in the belief that,라고 믿고
be of the belief that,이라고 생각하다
be of the belief that,라는 의견을 가지다
a religious belief,신앙
shake the peoples belief in,에 대한 사람들의 믿음이 흔들리게 하다
i've still got belief in myself,나는 여전히 나자신을 믿는다
It passes all belief that,이라는것은 전혀 믿을수 없다
to the best of my belief,내가 믿는 한에서는
to the best of my belief,내가 믿건대
That scenario is entirely believable,그 대본은 정말 진실감이 나오
believe it or not,잘 믿어지지 않겠지만
I dont believe a word of it,그것을 전혀 믿지 않는다
"if you believe that, you'll believe anything",그것을 믿으면 절대로 안돼 그것은 완전히 거짓이야
i'll believe it when i see it,내눈으로 보고야 믿겠어
I believe her to be the finest violinist in the world,그가 세상에서 제일 훌륭한 바이올린수라고 생각한다
I believe so,그렇다고 생각한다
I dont believe it of Tom,톰이 그렇게 했다고는 생각치 않는다
Dont you believe it,정말 믿을수 없다
believe in God,하느님을 믿다
believe in maintaining small class sizes,학급학생수를 적게 하는것이 좋다고 믿다
a believer in Christianity,그리스도교신자
a bicycle bell,자전거종
press the bell,초인종을 누르다
the final bell,경기마감을 알리는 징소리
"give me a bell sometime next week, won't you",다음주 어느 기회에 저에게 전화해주시겠습니까
The name rings a bell,그 이름이 귀에 익다
with bells on,열심히 기꺼이
My ears are still belling,여전히 귀가 멍멍하다
bellbottom trousers,나팔바지
bell metal,야금
empty bellied,배고픈
pot bellied,배가 뚱뚱한
big bellied,배가 큰
The mood at the meeting was belligerent,회의장분위기는 살벌하였다
give a bellow of rage,분노로 울부짖다
a bellow of laughter,대소
a bellow of laughter,폭소
a pair of bellows,손풀무
big bellied,배가 큰
an empty belly,빈배
an empty belly,공복
with a full belly,배가 불러
go belly up turn belly up,파산되다
The curtains bellied in the breeze,산들바람에 카텐이 불룩해졌다
have a bellyful,이 싫어지다
an attitude that doesn't belong in modern society,현대사회에 어울리지 않는 태도
Put the chair back where it belongs,의자를 제자리에 가져다 놓아라
Under what category does this book belong,이 책은 어떤 부류에 속하는가
"You and me, we belong together",너와 나는 서로 마음이 맞는다
Who does the scarf belong to,목도리는 누구의것이냐
He belongs to the golf club,그는 골프구락부의 한 성원이다
The race belonged completely to him,경기에서는 그가 완전히 독판쳤다
belong with,의 부류에 들다
belong with,에 관계가 있다
belong with,어울리다
belong with,조화되다
Cheese belongs with salad,치즈는 살라드에 제격이다
personal belongings,개인소지품
her beloved husband,그가 몹시도 사랑하는 남편
a book beloved of children,어린이들이 즐겨 읽는 책
cables running below the floorboards,마루밑에 늘인 케블
The kitchen is directly below the bedroom,부엌은 침실 바로 아래층에 있다
See below,아래 참조
below right,오른쪽 아래에
unbuckled the leather belt,가죽혁띠고리를 벗기다
a victors belt,승리자의 혁띠
a conveyor belt,콘베아벨트
a fan belt,선풍기피대
the asteroid belt,소행성띠
the cotton belt,목화생산지대
the green belt,교외지역
administer a good belt,한대 먹이다
below the belt,비렬한 부당한
hit below the belt,비렬하다 부당하다
a secretary with several years experience under her belt,수년간의 경험을 가진 녀서기
The knight belted his sword on,기사는 허리에 칼을 차고있었다
belt the ball towards the goal,꼴문을 향해 뽈을 힘껏 차다
The jacket belts at the waist,그 옷은 허리띠가 있다 허리띠를 매게 되여있다
He looked slightly bemused by all the questions,질문사태에 당황한것 같았다
a bemused expression,당황한 표정
be but and ben with,와 사이좋게 지내다
be on the bench,선수대기석에 앉아있다
be on the bench,교대선수로 되다
bench quarterback John in favour of Jim,중간방어수 죤대신에 짐을 경기에 내보내다
set a new benchmark for,의 새로운 기준을 제시하다
a benchmark of success,성공의 기준
benchtest,에 대한 벤취검사를 진행하다 벤취검사결과가 으로 되다
bend the steel,강철을 구부리다
"You cannot bend the rules, even for you","규정을 어길수 없네, 지어 자네를 위해서도"
bend a sail to its yard,돛을 돛가름대에 비끄러매다
a tree bending in the wind,바람에 휘여진 나무
bend to fate,운명에 순응하다
The river slowly bends around the city,그강은 도시를 천천히 감돌아 흐른다
The road bends south there,길은 거기서 남쪽으로 구부러진다
bend down,몸을 구부리다
bend its knee to foreign powers,외세에 굴복하다
bend the truth,거짓말을 하다
knee bends,무릎굽히기
knee bends,무릎운동
go on a bender,술마시고 흥청거리다
beneath the blanket,모포밑에
beneath the blanket,모포를 뒤집어쓰고
His legs were beginning to give way beneath him,다리가 후들후들 떨리기 시작하였다
The dolphins disappeared beneath the waves,곱둥어들이 파도밑으로 사라졌다
The roof collapsed beneath the weight of so much snow,눈이 너무 많이 쌓여 지붕이 내려앉았다
He married a lady who is rather beneath him,그는 자기보다 신분이 낮은 녀자와 결혼하였다
beneath contempt,경멸할 가치도 없는
beneath the gloss of success,성공의 막뒤에
looking at the river beneath,밑으로 흐르는 강을 보다
Benedictus qui venit Blessed is He,라틴어에서는 영어에서는 로 시작되는 짧은 찬가 그 음악
benefactor,녀성
mutually beneficial,호상 리득이 있는
mutual benefit,호상리익
to the benefit of,에 유리하게
to the benefit of,리롭게
bring benefits to,에게 리익을 가져다주다
be on benefit,보조금을 받다
unemployment benefit,실업수당금
"something didn't seem quite right, but i decided to give him the benefit of the doubt",무엇인가 잘못된것 같았지만 그에 대해 좋게 생각하기로 결심하였다
be forced to wait benighted near the summit,산정가까이에서 밤을 어차피 새우게 되다
a benign smile,상냥한 미소
a benign tumour,량성종양
a benignant expression,상냥한 표정
bent shoulders,구부정한 어께
a bent nail,구부러진 못
bent double,허리를 꼬부리고
bent out of shape,화가 난
bent out of shape,몹시 흥분한
be hellbent on,하기로 굳게 결심한
have a scientific bent have a bent for science,과학분야에 소질이 있다
have a natural bent for study,천성적으로 공부하기를 좋아하다
The war bereaved them of their mother,그 전쟁에서 그들은 어머니를 여의였다
the bereaved family,유가족
the bereaved parents,자식을 잃은 부모
be bereft of hope,희망을 잃다
doughnut,단졸임을 넣은 의 한가지
go berserk,미쳐날뛰다
book a berth,침대를 예약하다
I beseech you to listen,제발 내말 좀 들어 보십시오
it i'll beseems it does not beseem you to complain,불평을 하다니 자네답지 않군그래
be beset with selfdoubt,자신심을 잃고 모대기다
a bracelet beset with diamonds,금강석을 박아넣은 팔찌
a besetting idea,머리에서 떠나지 않는 생각
Beshrew me,젠장
Beshrew me,빌어먹을
He sat beside me,그는 나의 곁에 앉았다
stand right beside her,그의 바로곁에 서다
Those books seem rather dull beside this one,저 책들은 이것과 대비하여보면 꽤 지루한것같다
He was beside himself with grief when his wife died,안해가 죽었을 때 그는 몹시도 슬퍼하였다
pale beside with,과 대비하여 볼 때 아무것도 아니다
I have no other family besides my parents,나에게 식구래야 부모들밖에 없다
besides myself,나를 제외하고
"i'm capable of doing the work, and a lot more besides",그 일을 할수 있고 그외 다른일들도 할수 있다
she won't mind your being late besides its hardly your fault,자네가 늦었다고 해서 그가 마음을 쓰지 않을거네 더우기 늦은게 자네 잘못이라고야 할수 없지
be besieged by newsmen,신문기자들에게 에워싸이다
be besieged with requests,의뢰가 시끄럽게 계속 날아들다
be beslobbered with compliments,극구 칭찬을 받다
He besmirched the good name of his family,그는 가문의 명예를 더럽혔다
The floor was besmirched with blood,복도는 온통 피로 물들여졌다
be bespangled with stars,별들이 총총 빛나고있다
the best students,최우수학생들
Its best to do,하는것이 제일 좋다
easily the best,제일 좋은
by far the best,훨씬 훌륭한
the best looking man,제일 잘나보이는 남자
best known for,으로 유명한
best of all,무엇보다도
best of all,첫째로
had best do,하는것이 가장 좋다
had best do,하는것보다 더 좋은것은 없다
We d best be going now,이젠 가야겠어
be the best of friends,제일 친하다
she's the best of the young writers,그는 젊은 작가들중에서 제일이다
be in the best of health,건강상태가 아주 좋다
We have had the best of,의 전성기를 지나보냈다
We have had the best of,가장 좋은 시기가 이미 흘러갔다
at best,기껏해야 최고의 값으로
The technique is at best ineffective and at worst dangerous,그 기술은 기껏 좋게 평가해야 쓸모가 없고 심하게는 위험하다
Best of luck with your exams,시험을 잘 치기를 바란다
His drinking got the best of him and he was fired,그는 술때문에 종내 직업을 잃었다
I give you best,자네가 이겼네
make the best of,을 되도록 손해가 없도록 하다
make the best of,견디여내다
the best of,회전의 경기
with the best of them,누구에게도 못지 않게
The court was all bestrewn with leaves,뜰안에는 나무잎들이 온통 널려 있었다
have a bet on,에 대해 내기를 걸다
Your best bet is to,가장 좋은 방도는 하는것이다
My bet is that,틀림없이 이다
All bets are off,결과형편을 알수 없다
bet heavily on,에 많은 돈을 걸다
I would bet against him winning,그가 이기면 내가 돈을 내지
You bet,틀림없이
You bet,꼭 물론
You can bet your bottom dollar that hell be the next president,틀림없이 그가 다음번 대통령으로 될것이다
adrenaline,약학 작용억제제
I bethought myself of a good plan,좋은 수가 하나 떠올랐다
Jerusalem,팔레스티나의 에 가까운 도시
Jerusalem,예수의 출생지
be up betimes in the morning,아침일찍 일어나다
She wondered if his cold gaze betokened indifference or anger,그 녀자는 그의 차거운 눈길이 무관심 아니면 노여움을 나타내는지 갈피를 잡을수 없었다
betray secrets to,에게 비밀을 루설하다
His face betrayed nothing,그의 얼굴은 무표정하였다
Confusion betrayed his lie,당황한 나머지 거짓말이 드러났다
be betrothed to,와 약혼하다
be betrothed to,의 약혼자이다
be better than nothing,영 없는것보다는 낫다
The film was better than I expected,그 영화는 생각보다는 괜찮았다
her english isn't really getting any better,그의 영어는 전혀 개선이 없다
there's nothing better than,보다 더 좋은것은 없다
I hope he gets better soon,그가 인차 회복되기를 바란다
spend the better part of a day cleaning the kitchen,거의 하루종일 부엌은 청소하다
be better than sex,무척 재미있다
Better safe than sorry,돌다리도 두드려보고 건너라
better still,더 좋게는 더 나은
Johns no better,죤은 예나 지금이나 다를바없다
no better than,와 마찬가지로 나쁜
little better than,나 다름없는
You could do better if you tried,노력하면 더 잘할수 있다
be better able to do,을 더 잘할수 있다
I liked it better when we lived in the countryside,농촌에서 살 때가 더 좋았다
better known for,으로하여 더 잘 알려진
better looking than,보다 잘나보이는
The sooner we get off the better,빨리 떠날수록 더 좋다
for the better,보다 유리하게
for the better,저 좋게
get the better of,에게 이기다
have the better of,를 압도하다
Curiosity got the better of her,그는 호기심을 누를길이 없었다
He leaned closer the better to hear her,더 잘 듣기 위하여 그에게로 몸을 숙이였다
better conditions for,을 위한 조건을 개선하다
the betting is that,인것같다
The betting is that Liverpool will win,리버플팀이 이길것 같다
whats the betting,인것같은데
whats the betting he's up to no good,그는 아무모로 보아 쓸모없는것 같지 않아
the railway between Pyongyang and Nampho,평양남포간철도
the border between two countries,두나라사이경계
snack between two meals,새참을 먹다
Tom divided his money between his children,톰은 아이들에게 돈을 나누어주었다
make a comparison between two things,두가지를 비교하다
be torn between two things,이것저것 다 선택하지 못하다
be torn between two things,선택을 주저하다
the difference between income and expenditure,수입대지출간의 차이
the gap between the rich and the poor,빈부의 차이
They had drunk between them a bottle of brandy,그들은 둘이서 브란디 한병을 마셨다
between ourselves between you and me,우리끼리니 말이지
come between,의 사이를 리간시키다
come between,의 사이에 불화를 일으키다
in between,사이에
in between,의 중간에
have a snack in between meals,새참을 먹다
with no rest in between,중간휴식이 없이
a house and stables with a yard in between,사이에 마당을 둔 집과 외양간
the years between,그 동안에 흐른 세월
betwixt and between,중간치기에
betwixt and between,이것도 저것도 아니고 얼치기인
Beware of the dog,개주의
a bewildered expression,당황한 표정
She seemed frightened and bewildered,그는 겁이 더럭 났고 당황해하였다
passengers travelling to destination beyond Nampho,목적지가 남포를 지나가는 려행자들
"Beyond the river, cattle were grazing",강너머에서 소들이 풀을 뜯어먹고있었다
The landscape changed beyond recognition,풍경이 알아보지 못할 정도로 변하였다
The book is quite beyond me,그 책은 나의 힘에 부친다
Physics is completely beyond me,물리학은 전혀 리해가 안된다
until beyond midnight,자정이 넘을때까지
He went far beyond me in researches,그는 연구사업에서 나보다 훨씬 앞섰다
